Emotion,sentence,token
불안,같이 공부한 친구들은 계속해서 성적이 오르는데 나만 성적이 그대로야.,"['같이', '공부', '한', '친구', '들', '은', '계속', '해서', '성적', '이', '오르는데', '나', '만', '성적', '이', '그대로', '야', '.']"
불안,기한 안에 자료를 제출하지 못할까 봐 불안해서 야근을 했어.,"['기한', '안', '에', '자료', '를', '제출', '하지', '못', '할까', '봐', '불안해서', '야근', '을', '했어', '.']"
불안,잘할 거라 확신해. 부모님한테 말씀드리기가 무서워.,"['잘', '할', '거', '라', '확신', '해', '.', '부모님', '한테', '말씀드리', '기', '가', '무서워', '.']"
불안,내가 사람을 대할 때 어려움이 있어서 돈을 벌어야 하는데 두려워.,"['내', '가', '사람', '을', '대', '할', '때', '어려움', '이', '있어서', '돈', '을', '벌어야', '하는데', '두려워', '.']"
불안,내가 좋아하는 탁구를 하면서 의욕을 되찾아야겠어.,"['내', '가', '좋아하는', '탁구', '를', '하면서', '의욕', '을', '되찾아야겠어', '.']"
불안,일도 못 하는데 돈이 없어서 걱정이야.,"['일도', '못', '하는데', '돈', '이', '없어서', '걱정', '이야', '.']"
불안,응. 내가 발표할 때 심하게 떨어서 잘 못 할까 봐 걱정이야.,"['응', '.', '내', '가', '발표', '할', '때', '심하게', '떨어서', '잘', '못', '할까', '봐', '걱정', '이야', '.']"
불안,근데 너무 중독된 것 같기도 해. 성적을 망치면 안 되니까 공부도 조금 해야겠어.,"['근데', '너무', '중독', '된', '것', '같기도', '해', '.', '성적', '을', '망치', '면', '안', '되니까', '공부', '도', '조금', '해야겠어', '.']"
불안,나는 사실 결혼에 흥미가 없어. 그런데 저 말을 들으니 더 어떻게 해야 할지 모르겠어.,"['나', '는', '사실', '결혼', '에', '흥미', '가', '없어', '.', '그런데', '저', '말', '을', '들으니', '더', '어떻게', '해야', '할지', '모르겠어', '.']"
불안,원금조차 다 까먹었으니 같이 투자하자고 옆구리를 찔렀던 후배가 석연치 않아질 정도야. ,"['원금', '조차', '다', '까먹었으니', '같이', '투자', '하자고', '옆구리', '를', '찔렀던', '후배', '가', '석', '연', '치', '않아질', '정도', '야', '.']"
불안,잘 모르겠어. 이번에 취업이 안 되면 정말 답이 없는데.,"['잘', '모르겠어', '.', '이번', '에', '취업', '이', '안', '되면', '정말', '답', '이', '없는데', '.']"
불안,설사가 멈추지 않아 병원에 갔더니 당뇨약이 나한테 맞지 않았나봐.,"['설사', '가', '멈추지', '않아', '병원', '에', '갔더니', '당뇨', '약', '이', '나', '한테', '맞지', '않았나', '봐', '.']"
불안,나도 이제 내 건강에 자신이 없어.,"['나도', '이제', '내', '건강', '에', '자신', '이', '없어', '.']"
불안,따돌림 받을까봐 두려워.,"['따돌림', '받을까봐', '두려워', '.']"
불안,나는 노상 주차장에서 근무해.,"['나', '는', '노상', '주차장', '에서', '근무', '해', '.']"
불안,기쁘기도 하지만 한편으로는 두렵기도 해. 아직 마음의 준비가 안 됐거든.,"['기쁘', '기도', '하지만', '한편', '으로는', '두렵', '기도', '해', '.', '아직', '마음', '의', '준비', '가', '안', '됐거든', '.']"
불안,대출을 받기보다는 쓸데없는 지출을 줄여서 재정관리를 체계적으로 해봐야겠어.,"['대출', '을', '받기보다는', '쓸데없는', '지출', '을', '줄', '여서', '재정', '관리', '를', '체계', '적', '으로', '해봐야겠어', '.']"
불안,월세 날이 다가오는데 아내 간병 때문에 돈이 없어서 막막해.,"['월세', '날', '이', '다가오는데', '아내', '간병', '때문', '에', '돈', '이', '없어서', '막막해', '.']"
불안,그냥 눈치를 준 적은 있지만 깊게 이야기해본 적은 없어.,"['그냥', '눈치', '를', '준', '적은', '있지만', '깊게', '이야기', '해본', '적은', '없어', '.']"
불안,아니 특별한 이유는 없는데 자꾸 그런 생각이 들어.,"['아니', '특별한', '이유', '는', '없는데', '자꾸', '그런', '생각', '이', '들어', '.']"
불안,현재의 즐거움도 미래에 대한 준비도 모두 부족하지 않게 균형을 맞추어 나가려고 해.,"['현재', '의', '즐거움', '도', '미래', '에', '대한', '준비', '도', '모두', '부족하지', '않게', '균형', '을', '맞추어', '나가려고', '해', '.']"
불안,은퇴 준비하고 있는데 잘하고 있는지 걱정이다.,"['은퇴', '준비', '하고', '있는데', '잘', '하고', '있는지', '걱정', '이다', '.']"
불안,가장 친한 친구한테 먼저 지금의 솔직한 마음을 털어놓는 게 좋겠어.,"['가장', '친한', '친구', '한테', '먼저', '지금', '의', '솔직한', '마음', '을', '털어놓는', '게', '좋겠어', '.']"
불안,친구들과 더는 가깝게 지내고 싶지 않아.,"['친구', '들', '과', '더', '는', '가깝게', '지내고', '싶지', '않아', '.']"
불안,퇴근하고 나서 따로 공부를 좀 더 하려고 해.,"['퇴근', '하고', '나서', '따로', '공부', '를', '좀', '더', '하려고', '해', '.']"
불안,빨리 병원 가서 상태를 직접 확인해야겠어.,"['빨리', '병원', '가서', '상태', '를', '직접', '확인', '해야겠어', '.']"
불안,지금 직장이 나쁘진 않지만 평생직장은 아닌 것 같아. 노후를 생각한다면 더 나이 들기 전에 이직해야 할 것 같은데 잘 모르겠어.,"['지금', '직장', '이', '나쁘진', '않지만', '평생', '직장', '은', '아닌', '것', '같아', '.', '노후', '를', '생각', '한다면', '더', '나이', '들기', '전', '에', '이직', '해야', '할', '것', '같은데', '잘', '모르겠어', '.']"
불안,내가 원하던 일은 이게 아닌데.,"['내', '가', '원하던', '일', '은', '이', '게', '아닌데', '.']"
불안,애들이 클수록 나와 대화를 하지 않으려 하고 멀어지는 것 같아서 불안해. 이러다가 노후에 혼자가 되겠어.,"['애', '들', '이', '클수록', '나와', '대화', '를', '하지', '않으려', '하고', '멀어지는', '것', '같아서', '불안해', '.', '이러다가', '노후', '에', '혼자', '가', '되겠어', '.']"
불안,맞아. 유대감이 없으니 수행이 어렵고 모든 일에 흥미가 없어진다.,"['맞아', '.', '유', '대감', '이', '없으니', '수행', '이', '어렵고', '모든', '일', '에', '흥미', '가', '없어진다', '.']"
불안,독서실에서 공부를 오랜 시간 하는데도 점수가 오르지 않아 속상해.,"['독서실', '에서', '공부', '를', '오랜', '시간', '하는데도', '점수', '가', '오르지', '않아', '속상해', '.']"
불안,숨기는 것보다 미리 솔직하게 말하는 게 좋겠어.,"['숨기는', '것', '보다', '미리', '솔직하게', '말', '하는', '게', '좋겠어', '.']"
불안,내가 내 방 하나도 제대로 안 치워서 더 그런 것 같아. 앞으로 청소를 잘해야겠어.,"['내', '가', '내', '방', '하나', '도', '제대로', '안', '치워서', '더', '그런', '것', '같아', '.', '앞', '으로', '청소', '를', '잘', '해야겠어', '.']"
불안,살이 쪄서 쉬운 운동하는 것도 힘들어.,"['살이', '쪄서', '쉬운', '운동', '하는', '것', '도', '힘들어', '.']"
불안,오랜 근무로 처음엔 그저 번아웃인 줄 알았는데 우울증 진단을 받았어. 아무것도 안 하고 싶다.,"['오랜', '근무', '로', '처음', '엔', '그저', '번', '아웃', '인', '줄', '알았는데', '우울증', '진단', '을', '받았어', '.', '아무', '것', '도', '안', '하고', '싶다', '.']"
불안,육십 대 중반이지만 새로운 사람을 만나는 일이 크게 도움이 될 지 모르겠어서 불안해.,"['육십', '대', '중반', '이지만', '새로운', '사람', '을', '만나는', '일이', '크게', '도움', '이', '될', '지', '모르겠어서', '불안해', '.']"
불안,아무래도 부모님 댁 근처로 이사 가는 게 좋겠어. 부모님을 더 자주 뵐 수 있을 테니까.,"['아무래도', '부모님', '댁', '근처', '로', '이사', '가는', '게', '좋겠어', '.', '부모님', '을', '더', '자주', '뵐', '수', '있을', '테', '니까', '.']"
불안,나이 차이 많이 나는 신입과 업무 이야기를 하는데 조심스러워.,"['나이', '차이', '많이', '나', '는', '신입', '과', '업무', '이야기', '를', '하는데', '조심스러워', '.']"
불안,난 다리에 장애가 있어서 걷기를 잘 못해. 곧 대학교 입학 면접에서 넘어질까 봐 걱정이야.,"['난', '다리', '에', '장애', '가', '있어서', '걷기', '를', '잘', '못', '해', '.', '곧', '대학교', '입학', '면접', '에서', '넘어질까', '봐', '걱정', '이야', '.']"
불안,몇 번째 면접에서 떨어지고는 말도 잘 하지 않아. 나도 말을 걸기가 조심스러워.,"['몇', '번째', '면접', '에서', '떨어지고는', '말', '도', '잘', '하지', '않아', '.', '나도', '말', '을', '걸기가', '조심스러워', '.']"
불안,아들이 대학에 합격했다는 사실이 거짓이라는 것을 아내에게 들어서 혼란스러워.,"['아들', '이', '대학', '에', '합격', '했다는', '사실', '이', '거짓', '이라는', '것', '을', '아내', '에게', '들어서', '혼란', '스러워', '.']"
불안,너무 스트레스를 많이 받아서 집에서 기분 전환하면서 좀 쉬고 싶어.,"['너무', '스트레스', '를', '많이', '받아서', '집', '에서', '기분', '전환', '하면서', '좀', '쉬', '고', '싶어', '.']"
불안,앞으로 어떻게 살아갈지 정말 막막해. 하루하루가 긴장되는 삶이야.,"['앞', '으로', '어떻게', '살아갈지', '정말', '막막해', '.', '하루하루', '가', '긴장', '되는', '삶', '이야', '.']"
불안,내일 선생님과 진로 상담을 하기로 했는데 부모님이 너무 간섭해서 짜증이 나.,"['내일', '선생님', '과', '진로', '상담', '을', '하기로', '했는데', '부모님', '이', '너무', '간섭', '해서', '짜증', '이', '나', '.']"
불안,직장에만 가면 너무 힘들어.,"['직장', '에만', '가면', '너무', '힘들어', '.']"
불안,은퇴 후 계획을 천천히 세워 봐야겠어.,"['은퇴', '후', '계획', '을', '천천히', '세워', '봐야겠어', '.']"
불안,약속을 잡아도 자기들끼리만 만나기로 하고 대화에 끼기도 힘들고. 왕따가 된 것 같아.,"['약속', '을', '잡아도', '자기', '들', '끼리', '만', '만나기로', '하고', '대화', '에', '끼', '기도', '힘들고', '.', '왕따', '가', '된', '것', '같아', '.']"
불안,나이가 들면 들어갈수록 마음 한구석에 어느 한 점이 고립된 면이 나타나네.,"['나이', '가', '들면', '들어갈수록', '마음', '한구석', '에', '어느', '한', '점', '이', '고립', '된', '면', '이', '나타나네', '.']"
불안,나한테 굉장히 반갑게 인사를 했는데 나는 전혀 모르는 얼굴이었거든. 아무리 생각해도 모르겠더라고.,"['나', '한테', '굉장히', '반갑게', '인사', '를', '했는데', '나', '는', '전혀', '모르는', '얼굴', '이었거든', '.', '아무리', '생각', '해도', '모르', '겠더라고', '.']"
불안,새로운 프로젝트를 하려고 하는데 예산도 부족하고 생각 보다 잘되지 않아서 괴로워.,"['새로운', '프로젝트', '를', '하려고', '하는데', '예산', '도', '부족하고', '생각', '보다', '잘되지', '않아서', '괴로워', '.']"
불안,프레젠테이션을 내가 해야 하는데 발표 분야의 전문가들만 모인 자리야. 조금만 실수해도 다들 알아보실 테니까.,"['프레', '젠', '테이', '션', '을', '내', '가', '해야', '하는데', '발표', '분야', '의', '전문가', '들', '만', '모인', '자리야', '.', '조금', '만', '실수', '해도', '다', '들', '알아보실', '테', '니까', '.']"
불안,나이를 먹으면서 정신질환으로 정상적인 생활이 어려워져 무기력해.,"['나이', '를', '먹으면서', '정신질환', '으로', '정상', '적', '인', '생활', '이', '어려워져', '무기', '력', '해', '.']"
불안,모르는 척하고 기분 나쁘다는 표현을 잘 못 한 것 같아.,"['모르는', '척', '하고', '기분', '나쁘다는', '표현', '을', '잘', '못', '한', '것', '같아', '.']"
불안,내가 이번 시험 성적이 오를 수 있을까? 떨어지면 어떡하지?,"['내', '가', '이번', '시험', '성적', '이', '오를', '수', '있을까', '?', '떨어지면', '어떡하지', '?']"
불안,안 좋은 소문이 나서 다른 사람들이 그대로 믿을 거 같아서 불안해.,"['안', '좋은', '소문', '이', '나서', '다른', '사람', '들', '이', '그대로', '믿을', '거', '같아서', '불안해', '.']"
불안,학교에서 친구들이 빈곤하다고 욕하고 괴롭혀.,"['학교', '에서', '친구', '들', '이', '빈곤하다고', '욕', '하고', '괴롭혀', '.']"
불안,동창들한테 전화해도 받지를 않네. 일부러 피하는 느낌이야.,"['동창', '들', '한테', '전화해도', '받지를', '않네', '.', '일부러', '피하', '는', '느낌', '이야', '.']"
불안,그래 열심히 노력해볼게.,"['그래', '열심히', '노력', '해볼게', '.']"
불안,지난 번 시험 결과로 선생님과 조만간 면담을 할 것 같아서 긴장이 돼.,"['지난', '번', '시험', '결과', '로', '선생님', '과', '조만간', '면담', '을', '할', '것', '같아서', '긴장', '이', '돼', '.']"
불안,응. 갑자기 코로 숨이 안 쉬어지는 거야. 기침은 계속 나오고. 너무 힘들었어.,"['응', '.', '갑자기', '코로', '숨', '이', '안', '쉬어지는', '거야', '.', '기침', '은', '계속', '나오고', '.', '너무', '힘들었어', '.']"
불안,어쩌면 좋을지 도저히 모르겠네?,"['어쩌면', '좋을지', '도저히', '모르겠네', '?']"
불안,문자도 남기고 전화도 했는데 연락이 안 돼서 당혹스러워.,"['문자', '도', '남기고', '전화', '도', '했는데', '연락', '이', '안', '돼서', '당혹스러워', '.']"
불안,응. 그런데 정밀검사를 받을 때 너무 힘들고 더 당혹스러웠어. 두 번 다시 받고 싶지 않아.,"['응', '.', '그런데', '정밀검사', '를', '받을', '때', '너무', '힘들고', '더', '당혹스러웠어', '.', '두', '번', '다시', '받고', '싶지', '않아', '.']"
불안,가게 되면 부모님도 따라오실 거야. 날 엄청 걱정하시거든.,"['가게', '되면', '부모님', '도', '따라오실', '거야', '.', '날', '엄청', '걱정', '하시거든', '.']"
불안,맞아. 엄마로서 잘 할 수 있을지 의문이야. 엄마가 된다고 하니 낯설기만 해.,"['맞아', '.', '엄마', '로서', '잘', '할', '수', '있을지', '의문', '이야', '.', '엄마', '가', '된다고', '하니', '낯설기만', '해', '.']"
불안,일단은 주변 사람들에게 돈을 빌려보고 은행에도 가봐야겠어.,"['일단', '은', '주변', '사람', '들', '에게', '돈', '을', '빌려', '보고', '은행', '에도', '가봐야겠어', '.']"
불안,젊은 층과의 의사소통이 단절되었다는 느낌이 들어.,"['젊은', '층', '과의', '의사소통', '이', '단절', '되었다는', '느낌', '이', '들어', '.']"
불안,내일 내 학교 폭력 재판이 열려. 이길 수 있을지 너무 불안해. 이기지 못하면 어떡하지?,"['내일', '내', '학교', '폭력', '재판', '이', '열려', '.', '이길', '수', '있을지', '너무', '불안해', '.', '이기', '지', '못', '하면', '어떡하지', '?']"
불안,아이들도 성인이니 빨래나 청소는 각자 하라고 해야지. 가족회의를 통해 해결할 수 있겠지.,"['아이', '들', '도', '성인', '이니', '빨래', '나', '청소', '는', '각자', '하라', '고', '해야지', '.', '가족', '회의', '를', '통해', '해결', '할', '수', '있겠지', '.']"
불안,여행사 쪽 취업을 희망하고 있어. 근데 지금은 관광객이 거의 안 와서 여행사들이 채용을 거의 안 해.,"['여행사', '쪽', '취업', '을', '희망', '하고', '있어', '.', '근데', '지금', '은', '관광객', '이', '거의', '안', '와서', '여행사', '들', '이', '채용', '을', '거의', '안', '해', '.']"
불안,이런 상황이 나는 참 불만스럽네.,"['이런', '상황', '이', '나', '는', '참', '불만', '스럽네', '.']"
불안,고등학교떄부터 가장 친한 친구 모임이야!,"['고등학교', '떄', '부터', '가장', '친한', '친구', '모임', '이야', '!']"
불안,무슨 일인지 알고 싶은데 말을 안 해서 모르겠어. 친구들과 잘 지냈으면 좋겠는데.,"['무슨', '일인', '지', '알', '고', '싶은데', '말', '을', '안', '해서', '모르겠어', '.', '친구', '들', '과', '잘', '지냈으면', '좋겠는데', '.']"
불안,이제 연애하기도 조심스러워.,"['이제', '연애', '하기도', '조심스러워', '.']"
불안,다른 일자리를 정말 알아봐야겠어.,"['다른', '일자리', '를', '정말', '알아봐야겠어', '.']"
불안,대학 편입을 준비하는데 갈수록 경쟁이 심해져서 자꾸 무기력해져.,"['대학', '편입', '을', '준비', '하는데', '갈수록', '경쟁', '이', '심해져서', '자꾸', '무기', '력', '해져', '.']"
불안,그래도 남편이랑 즐겁게 보내고 싶은데 마음처럼 쉽지 않네.,"['그래도', '남편', '이랑', '즐겁게', '보내고', '싶은데', '마음', '처럼', '쉽지', '않네', '.']"
불안,권고 퇴직당하면 처음에는 화도 나지만 좀 지나면 그 백수 생활도 익숙해진다네.,"['권고', '퇴직', '당하면', '처음', '에는', '화도', '나', '지만', '좀', '지나면', '그', '백수', '생활', '도', '익숙해진다네', '.']"
불안,그래. 세상이 잘 변하지가 않으니까.,"['그래', '.', '세상', '이', '잘', '변하지가', '않으니까', '.']"
불안,아이가 점점 커갈수록 대화가 되지 않고 그러면서 자꾸 관계가 멀어질까 봐 초조하기도 해.,"['아이', '가', '점점', '커', '갈수록', '대화', '가', '되지', '않고', '그러면서', '자꾸', '관계', '가', '멀어질까', '봐', '초조하기도', '해', '.']"
불안,맞아. 다른 친구들도 연락이 안 되긴 마찬가지래. 한 번 찾아가 볼까? ,"['맞아', '.', '다른', '친구', '들', '도', '연락', '이', '안', '되긴', '마찬가지', '래', '.', '한', '번', '찾아가', '볼까', '?']"
불안,아직 어리니 관리만 잘한다면 큰 문제가 없을 거라고 하시더라구.,"['아직', '어리니', '관리', '만', '잘', '한다면', '큰', '문제', '가', '없을', '거', '라고', '하시더라', '구', '.']"
불안,남편한테 이혼하자고 말 꺼내기가 두려워.,"['남편', '한테', '이혼', '하자고', '말', '꺼내기가', '두려워', '.']"
불안,나 때문에 싸우지 않도록 내가 더 잘해야겠어.,"['나', '때문', '에', '싸우지', '않도록', '내', '가', '더', '잘', '해야겠어', '.']"
불안,매번 이렇게 확인하면 내가 지치지 않을까?,"['매번', '이렇게', '확인', '하면', '내', '가', '지치지', '않을까', '?']"
불안,할 수 있는 게 아무것도 없는 것 같아. 아들과 대화를 해야겠어.,"['할', '수', '있는', '게', '아무', '것', '도', '없는', '것', '같아', '.', '아들', '과', '대화', '를', '해야겠어', '.']"
불안,내가 잘못한 거니까 지금 들어가서 엄마한테 용서를 구하는 게 가장 좋은 방법인 것 같아.,"['내', '가', '잘못', '한', '거', '니까', '지금', '들어가서', '엄마', '한테', '용서', '를', '구', '하는', '게', '가장', '좋은', '방법', '인', '것', '같아', '.']"
불안,앞으로 어떻게 살아야 할지 고민이야.,"['앞', '으로', '어떻게', '살아야', '할지', '고민', '이야', '.']"
불안,작년만해도 이러지 않았는데 동아리나 가입해볼까.,"['작년', '만해', '도', '이러지', '않았는데', '동아리', '나', '가입', '해볼까', '.']"
불안,이미 한 말은 주워 담을 수가 없겠지? 지금부터라도 말조심을 하는 편이 좋겠어.,"['이미', '한', '말', '은', '주워', '담', '을', '수가', '없겠지', '?', '지금', '부터라도', '말', '조심', '을', '하는', '편이', '좋겠어', '.']"
불안,나는 내가 전공한 분야와 관련된 직업을 가지고 싶어.,"['나', '는', '내', '가', '전공', '한', '분야', '와', '관련', '된', '직업', '을', '가지', '고', '싶어', '.']"
불안,모르겠어. 나라도 아르바이트를 해서 외상값을 갚고 싶은 심정이야.,"['모르겠어', '.', '나라', '도', '아르바이트', '를', '해서', '외상', '값', '을', '갚고', '싶은', '심정', '이야', '.']"
불안,항상 집에 가면 집안일만 하고. 내가 집안일 하는 기계도 아닌데.,"['항상', '집', '에', '가면', '집안일', '만', '하고', '.', '내', '가', '집안일', '하는', '기계', '도', '아닌데', '.']"
불안,그렇긴 한데 워낙 귀중한 분들이니 신경이 많이 쓰이는 게 사실이야.,"['그렇긴', '한데', '워낙', '귀중한', '분', '들', '이니', '신경', '이', '많이', '쓰이는', '게', '사실', '이야', '.']"
불안,지금 다니는 직장에 만족해야 할까 다른 일을 찾아볼까?,"['지금', '다니는', '직장', '에', '만족해야', '할까', '다른', '일', '을', '찾아볼까', '?']"
불안,나보다 좋은 대학교를 졸업한 선배한테 물어봐야 하나?,"['나', '보다', '좋은', '대학교', '를', '졸업', '한', '선배', '한테', '물어봐야', '하나', '?']"
불안,아무리 열심히 해도 잘 안 되니 힘들어.,"['아무리', '열심히', '해도', '잘', '안', '되니', '힘들어', '.']"
불안,내가 먼저 가서 얘기를 해보지만 딸을 항상 나를 밀어내려고 해서 막막해.,"['내', '가', '먼저', '가서', '얘기', '를', '해보지만', '딸', '을', '항상', '나를', '밀어내려고', '해서', '막막해', '.']"
불안,아무리 결혼한 지 오래되었다고 해도 서로 도와주고 말도 신경 써줘야지 진짜 너무하다고 느껴.,"['아무리', '결혼', '한', '지', '오래되었다고', '해도', '서로', '도와주고', '말', '도', '신경', '써줘야지', '진짜', '너무하다고', '느껴', '.']"
불안,내 꿈을 굽히고 싶지 않은데 부모님께 강하게 말할 용기도 없어서 갈등만 커져가는 것 같아.,"['내', '꿈', '을', '굽히고', '싶지', '않은데', '부모님', '께', '강하게', '말', '할', '용기', '도', '없어서', '갈등', '만', '커져가는', '것', '같아', '.']"
불안,적어도 내가 게임을 하는 이유 정도는 들어줄 수 있잖아? 그리고 왜 하지 말아야 하는데?,"['적어도', '내', '가', '게임', '을', '하는', '이유', '정도', '는', '들어줄', '수', '있잖아', '?', '그리고', '왜', '하지', '말아야', '하는데', '?']"
불안,어렸을 때는 건강하고 가진 것도 많아서 모두들 나를 부러워했었는데 말이야.,"['어렸을', '때', '는', '건강하고', '가진', '것', '도', '많아서', '모두', '들', '나를', '부러워했었는데', '말', '이야', '.']"
불안,내가 학교 폭력의 주동자로 몰릴까 봐 무서워.,"['내', '가', '학교', '폭력', '의', '주', '동', '자로', '몰릴까', '봐', '무서워', '.']"
불안,엄마의 잔소리 때문에 스트레스로 폭식을 해 살이 많이 쪘어. 다이어트중인데 실천이 어려워.,"['엄마', '의', '잔소리', '때문', '에', '스트레스', '로', '폭', '식', '을', '해', '살이', '많이', '쪘어', '.', '다이어트', '중', '인데', '실천', '이', '어려워', '.']"
불안,정기적으로 진단을 꾸준히 받고 미리 대비해야겠어.,"['정기', '적', '으로', '진단', '을', '꾸준히', '받고', '미리', '대비', '해야겠어', '.']"
불안,거동을 못 하게 되니 결국 뮤지컬 관람을 포기할 수밖에 없었는데 어찌나 속상했는지 모른다네.,"['거동', '을', '못', '하게', '되니', '결국', '뮤지컬', '관람', '을', '포기', '할', '수', '밖에', '없었는데', '어찌나', '속상했는지', '모른다네', '.']"
불안,매일 친구가 힘든 이야기만 하니까 나도 덩달아 쳐져.,"['매일', '친구', '가', '힘든', '이야기', '만', '하니까', '나도', '덩달아', '쳐져', '.']"
불안,낯설어서 마음이 불편하니 되도록 새어머니와 친해지도록 노력할 거야.,"['낯설어서', '마음', '이', '불편하니', '되도록', '새어머니', '와', '친해지도록', '노력', '할', '거야', '.']"
불안,일단 밖으로 나가서 뭐라도 했지. 오늘도 저녁에 산책이라도 나가보려고 해.,"['일단', '밖', '으로', '나가서', '뭐라도', '했지', '.', '오늘', '도', '저녁', '에', '산책', '이라도', '나', '가보려고', '해', '.']"
불안,내 우유부단한 성격 때문에 거래처 사장님들을 다 놓쳤어.,"['내', '우유부단한', '성격', '때문', '에', '거래처', '사', '장님', '들', '을', '다', '놓쳤어', '.']"
불안,나를 필요할 때만 찾는 애들이 있어서 짜증 나네. 친구라고 느껴지지도 않고.,"['나를', '필요할', '때', '만', '찾는', '애', '들', '이', '있어서', '짜증', '나네', '.', '친구', '라고', '느껴지지도', '않고', '.']"
불안,디자인 전공을 하겠다고 미술학원에 다니는 딸이 늦잠 때문에 학원에 지각을 해서 속상해.,"['디자인', '전공', '을', '하겠다고', '미술', '학원', '에', '다니는', '딸', '이', '늦잠', '때문', '에', '학원', '에', '지각', '을', '해서', '속상해', '.']"
불안,요즘같이 어려운 시기에 유지만 할 수 있어도 다행이긴 한데. 앞으로가 불안하네.,"['요즘', '같이', '어려운', '시기', '에', '유지', '만', '할', '수', '있어도', '다행', '이긴', '한데', '.', '앞', '으로가', '불안하네', '.']"
